الرقم,السؤال,الجواب,Family_Law_Category
191,هل يمكن للأب أن يأخذ الحضانة من الأم مباشرة؟,"لا يمكن للأب أخذ الحضانة من الأم مباشرة إلا إذا ثبت أمام المحكمة فقدان الأم لأحد شروط الحضانة، مثل فقدان الأهلية أو القدرة على الرعاية، مع مراعاة مصلحة المحضون.",Custody and Visitation
192,هل يحق للأب المطالبة بالحضانة إذا تنازلت الأم عنها؟,"نعم، يحق للأب المطالبة بالحضانة إذا تنازلت الأم عنها، حيث الحضانة حق للمحضون، وتقرر المحكمة أهليته بناءً على مصلحة المحضون الفضلى ",Custody and Visitation
193,هل يمكن إسقاط الحضانة عن الأم؟,"يمكن إسقاط الحضانة عن الأم  لكن يتطلب قرارًا قضائيًا يثبت فقدانها لأحد شروط الحضانة المنصوص عليها في نظام الأحوال الشخصية، مثل فقدان الأهلية، الإخلال بالرعاية، أو زواجها من غير محرم للمحضون مـا لم تقتـض مصلحـة المحضـون خلاف ذلـك. ",Custody and Visitation
194,ما أهم شروط الحضانة للأم؟,"تشمل أهم شروط الحضانة للأم كمال الأهلية، القدرة على تربية المحضون ورعايته، وخلوها من الأمراض المعدية الخطيرة التي تهدد المحضون  وأن تكون غـير متزوجـة برجـل أجنبـي عـن المحضـون، مـا لم تقتـض مصلحـة المحضـون خلاف ذلـك.",Custody and Visitation
195,هل يجوز للأم المتزوجة الاحتفاظ بالحضانة؟,يمكن للأم المتزوجة من غير محرم الاحتفاظ بالحضانة إذا كان المحضون دون سن العامين أو إذا قررت المحكمة أن بقاء المحضون معها يحقق مصلحته الفضلى ولا يشكل زوجها ضررًا عليه.,Custody and Visitation
196,هل يلزم الأب بتوفير سكن للحاضن والمحضون؟,"لا يُطلب من الأب توفير سكن للمطلقة الحاضنة إذا كان لديها مسكن ملائم يتوفر فيه شروط الصحة والأمان والاستقرار النفسي للمحضون. أما إذا لم يكن لديها مسكن ملائم، يُطلب من الأب توفير سكن للمحضون أو دفع تعويض مالي لاستئجار مسكن ملائم. يظل الأب ملزمًا بباقي النفقات مثل الطعام والملبس والتعليم، وفي حال الخلاف، تقرر المحكمة بناءً على مصلحة المحضون ",Alimony and Maintenance 
197,من له الأولوية في الحضانة بعد الأم؟,"الأب، ثـم أم الأم، ثم أم الأب، ثـم تقرر المحكمة ما تـرى فيـه مصلحـة المحضـون.",Custody and Visitation
198,هل يمكن تقديم أحد الأقارب على الأب في الحضانة؟,"نعم، إذا ثبت أن الأب غير مؤهل لرعاية المحضون.",Custody and Visitation
199,هل يحق للحاضن استعادة الحضانة بعد سقوطها؟,"نعم، إذا زال سبب سقوطها.",Custody and Visitation
200,هل يمكن منع الطرف الآخر من الزيارة؟,لا يجوز إلا إذا ثبت ضرر على المحضون.,Custody and Visitation
201,متى يحق للمحضون اختيار من يعيش معه؟,عند بلوغه 15 سنة.,Custody and Visitation
202,هل يحق للقاضي نقل الحضانة دون طلب أحد الأطراف؟,"نعم، إذا تبين للمحكمة أن مصلحة المحضون تقتضي ذلك, وثبت وجود سبب نظامي يؤثر في استحقاق الحضانة  أو في مصلحة المحضون.",Custody and Visitation
203,ماذا يحدث إذا رفض كل الأقارب رعاية المحضون؟,"إذا رفض جميع الأقارب رعاية المحضون أو تعذر وجود حاضن مستحق، تُلزم المحكمة من يثبت استحقاقه للحضانة متى أمكن، فإن تعذر ذلك بما يحقق مصلحة المحضون، تتولى الجهات المختصة توفير الرعاية والحماية اللازمة للمحضون وفق الأنظمة",Custody and Visitation
204,هل يمكن إسقاط الحضانة إذا ثبت إهمال الحاضن للمحضون؟,"نعم، يمكن إسقاط الحضانة إذا ثبت إهمال الحاضن للمحضون وتقصيره في أداء واجباته.",Custody and Visitation
205,ما الحالات التي يعتبر فيها الحاضن مهملاً؟,"تعريض المحضون للخطر، الامتناع عن توفير العلاج أو التعليم، أو الإهمال العاطفي والبدني الواضح.",Custody and Visitation
206,هل يُشترط تقديم أدلة قوية لإثبات الإهمال؟,"نعم، ويجب أن تكون الأدلة موثقة مثل تقارير طبية أو شهادات مدرسية أو إفادات من جهات رسمية.",Custody and Visitation
207,هل يمكن للأم استعادة الحضانة بعد زواجها؟,"نعم، إذا ثبت أن مصلحة المحضون تقتضي بقاءه معها رغم زواجها.",Custody and Visitation
208,هل يمكن للأب استعادة الحضانة بعد سقوطها عنه؟,"نعم، إذا زالت الأسباب التي أدت إلى سقوطها وكان هو الأصلح لرعاية المحضون.",Custody and Visitation
209,ما الجهة المختصة بإسقاط الحضانة؟,المحكمة المختصة بشؤون الأحوال الشخصية.,Custody and Visitation
210,هل يمكن للأب التنازل عن الحضانة ثم المطالبة بها لاحقًا؟,"نعم، يمكن للأب التنازل عن الحضانة ثم المطالبة بها لاحقًا اذا ثبت تغير الظروف لصالح المحضون فالحضانة ليست حقاً ثابتاً لا يتغير، بل هي حق للمحضون ويدور مع مصلحته.",Custody and Visitation
211,ماذا لو رفض المحضون البقاء مع الحاضن؟,"إذا رفض المحضون البقاء مع الحاضن، تنظر المحكمة في عمره وسبب الرفض. فإذا بلغ الخامسة عشرة، يُنظر في رغبته مع مراعاة مصلحته. أما إذا كان دون ذلك، فلا يكون رفضه وحده سببًا لتغيير الحضانة، وإنما تتحقق المحكمة من أسبابه، فإن ثبت وجود ضرر أو إهمال أو عدم صلاحية الحاضن، جاز اتخاذ ما يحقق مصلحة المحضون.",Custody and Visitation
212,هل يحق للمحضون رفع دعوى لتغيير الحضانة؟,"لا، لا يحق للمحضون رفع دعوى لتغيير الحضانة بنفسه، وإنما تُرفع الدعوى من صاحب الصفة النظامية، وللمحضون إبداء رغبته أمام المحكمة في الحالات التي يعتد فيها النظام برأيه، مع مراعاة مصلحته.",Custody and Visitation
213,هل يمكن انتقال الحضانة إلى الأخوة؟,"نعم، يمكن أن تنتقل الحضانة إلى الإخوة، ولكن هذا الانتقال لا يتم بشكل تلقائي بل يخضع لشروط وضوابط صارمة تترتب على ترتيب مستحقي الحضانة ومصلحة المحضون الفضلى.",Custody and Visitation
214,هل يمكن للحاضن نقل المحضون إلى مدينة أخرى؟,يمكن ذلك إذا لم يؤثر النقل على حق الطرف الآخر في الزيارة أو مصلحة المحضون.,Custody and Visitation
215,ما الإجراء إذا كان أحد الأبوين مسجونًا؟,"تنتقل الحضانة إلى الطرف الآخر، ما لم يكن غير مؤهل، وفي هذه الحالة تقرر المحكمة الأصلح لرعاية المحضون.",Custody and Visitation
216,ما هو الحد الأدنى لحق الزيارة للطرف غير الحاضن؟,"تحدد المحكمة الحد الأدنى بناءً على مصلحة المحضون، وعادة لا يقل عن يومين في الأسبوع.",Custody and Visitation
217,هل يحق للطرف غير الحاضن طلب تمديد الزيارة؟,يمكنه ذلك إذا ثبت أن تمديد الزيارة لا يضر بمصلحة المحضون.,Custody and Visitation
218,هل يمكن منع الطرف الآخر من اصطحاب المحضون في الإجازات؟,"لا يمكن الوالد غير الحاضن من اصطحاب المحضون في الإجازات، لأن له حق الاستصحاب وفق المادة 132 من نظام الأحوال الشخصية، إلا إذا ثبت للمحكمة بأدلة (كتقارير طبية أو نفسية) أن ذلك يشكل خطرًا جسديًا أو نفسيًا على المحضون أو يتعارض مع مصلحته، وفق المادة 133. في حال الخلاف، تحدد المحكمة مواعيد الاستصحاب بناءً على مصلحة المحضون",Custody and Visitation
219,هل يمكن فرض غرامة على الحاضن إذا منع الزيارة؟,"نعم، يمكن للمحكمة فرض غرامة مالية على الحاضن إذا منع الزيارة دون مبرر مشروع وفق المادة 134 واللائحة التنفيذية، كما يجوز للمحكمة أمر تنفيذ الزيارة جبريًا بمساعدة الجهات الأمنية إذا استمر المنع، وفق المادة 135. في حال تكرار المنع دون سبب يخدم مصلحة المحضون، قد تنظر المحكمة في نقل الحضانة للوالد الآخر بناءً على مصلحة المحضون ",Custody and Visitation
220,هل يؤثر الفقر على حق الحضانة؟,"لا، طالما أن الحاضن قادر على رعاية المحضون بالحد الأدنى المقبول.",Custody and Visitation
221,هل تعود الحضانة تلقائيًا عند زوال العائق؟,"لا، يجب رفع دعوى استرداد الحضانة أمام المحكمة.",Custody and Visitation
222,هل يحق للأب الاعتراض على حضانة الأم إذا أثبت سوء سلوكها؟,"نعم، بشرط تقديم أدلة قانونية تثبت ذلك.",Custody and Visitation
223,هل يمكن الاتفاق على الحضانة دون تدخل المحكمة؟,"نعم، بشرط توثيق الاتفاق لحماية حقوق الطرفين والمحضون.",Custody and Visitation
224,هل يمكن تعديل اتفاق الحضانة لاحقًا؟,"نعم، إذا تغيرت الظروف وكانت مصلحة المحضون تقتضي ذلك.",Custody and Visitation
225,هل يحق للحاضن المطالبة بنفقة بأثر رجعي؟,"نعم، بشرط ألا تتجاوز المطالبة سنتين من تاريخ الدعوى.",Alimony and Maintenance 
226,ما الإجراءات القانونية عند امتناع الأب عن دفع النفقة؟,"في حال رفض الأب دفع النفقة بعد صدور الحكم، يمكن رفع دعوى تنفيذ عبر بوابة ناجز لدى محكمة التنفيذ لإلزامه بالسداد وفق المادة 48 من نظام الأحوال الشخصية، وتشمل الإجراءات: إلزامه بالدفع من خلال المحكمة، اقتطاع النفقة مباشرة من راتبه الشهري، تجميد حساباته البنكية، منعه من السفر، وإيقاف بعض الخدمات الحكومية عنه حتى ينفذ الحكم، مع مراعاة مصلحة المحضون ",Alimony and Maintenance 
227,هل تشمل نفقة الابن مصاريف التعليم؟,"نعم، ويجب على الأب التكفل بها إذا كان قادرًا ماليًا.",Alimony and Maintenance 
228,هل يمكن للأم الأجنبية (غير السعودية)  الاحتفاظ بحضانة طفلها بعد الطلاق من سعودي؟,"نعم، يمكن للأم غير السعودية الاحتفاظ بحضانة طفلها بعد الطلاق من سعودي إذا توافرت فيها شروط الحضانة وفق المادة 123 من نظام الأحوال الشخصية، ولم يثبت وجود ضرر على الطفل، وكان ذلك في مصلحته، مع مراعاة اتحاد الدين إذا كان الطفل مسلمًا، وتقرر المحكمة بناءً على ظروف الحالة ",Custody and Visitation
229,ماذا لو أراد أحد الأبوين اصطحاب المحضون إلى بلد آخر؟,يجب الحصول على موافقة الطرف الآخر أو قرار قضائي يسمح بذلك.,Custody and Visitation
230,هل يمكن تنفيذ أحكام الحضانة الأجنبية في المملكة؟,"نعم، يمكن تنفيذ أحكام الحضانة الأجنبية في المملكة بشرط ألا تتعارض مع الأحكام الشرعية ونظام الأحوال الشخصية السعودي، ويتم تقديم طلب تنفيذ الحكم الأجنبي لمحكمة الأحوال الشخصية المختصة لمراجعته واعتماده وفق المادة 14 من نظام التنفيذ، مع مراعاة مصلحة المحضون الفضلى ",Custody and Visitation
231,ما دور المحكمة في قضايا الحضانة؟,الفصل في النزاعات بناءً على مصلحة المحضون.,Custody and Visitation
232,ما دور مراكز الحماية الاجتماعية في قضايا الحضانة؟,توفير الدعم للأطفال في حالات الإهمال أو التعنيف.,Custody and Visitation
233,ما عقوبة الامتناع عن تنفيذ الزيارة؟,"عند مخالفة الطرفَين لحكم الزيارة ومواعيدها؛ فإن المنظم قد نص في المادة (92) من نظام التنفيذ على عقوبة لكل من يمتنع عن تنفيذ حكم الزيارة، أو يخفي المحضون، أو يمتنع عن إعادته، وشدد النظام في ذلك، فقرر عقوبة السجن لمدة تصل إلى ثلاثة أشهر.",Custody and Visitation
234,هل يمكن زيادة النفقة عند تحسن وضع الأب المالي؟,"نعم، بناءً على طلب الحاضن وتقدير المحكمة.",Alimony and Maintenance 
235,هل يمكن تخفيض النفقة عند تراجع وضع الأب المالي؟,يمكن ذلك بناءً على إثبات قانوني يقدمه الأب.,Alimony and Maintenance 
236,هل يحق للمحضون امتلاك هاتف والتواصل مع الطرف غير الحاضن؟,"نعم، إذا كان ذلك لا يشكل ضررًا عليه.",Custody and Visitation
237,هل يمكن منع الحاضن من نشر صور المحضون على وسائل التواصل؟,"نعم، يمكن منع الحاضن من نشر صور المحضون على وسائل التواصل الاجتماعي إذا اعترض الطرف الآخر وثبت للمحكمة أن النشر قد يؤثر سلبًا على مصلحة المحضون، مثل تعريضه للخطر أو الإضرار بخصوصيته، وفق المادة 122 من نظام الأحوال الشخصية التي تركز على مصلحة المحضون الفضلى، وتقرر المحكمة بناءً على ظروف الحالة ",Custody and Visitation
238,هل الحضانة قضية قابلة للاستئناف؟,"نعم، يمكن استئناف أي حكم يتعلق بالحضانة.",Custody and Visitation
239,ما الفرق بين الحضانة والولاية؟,"تعني حفظ الصغير وتربيته، والقيام بشؤونه الحياتية،هي سلطة شرعية ونظامية يُمنحها القانون للأب، أو من يحل محله شرعًا في شؤون القاصر المتعلقة بشخصه، وتشمل على سبيل المثال لا الحصر التعليم، والسفر، والعلاج، والزواج، وغيرها.",Custody and Visitation
240,هل يمكن للحاضن تغيير مدرسة المحضون دون موافقة الولي؟,"لا يمكن للحاضن تغيير مدرسة المحضون دون موافقة الولي (الأب عادة) إلا إذا كان التغيير ضروريًا لمصلحة المحضون الفضلى وتمت الموافقة عليه من المحكمة، حيث يُشترط الاتفاق بين الحاضن والولي على القرارات الجوهرية المتعلقة بالتعليم، وفي حال الخلاف، تقرر المحكمة بناءً على مصلحة المحضون ",Custody and Visitation
241,هل يمكن للحاضن الموافقة على عمليات جراحية للمحضون دون إذن الولي؟,"لا، إلا في الحالات الطارئة التي تستدعي تدخلاً فورياً.",Custody and Visitation
242,"إذا كان الولي غير مهتم بالمحضون، هل يمكن للحاضن طلب نقل الولاية إليه؟","نعم، عبر رفع دعوى قضائية لإثبات الإهمال.",Custody and Visitation
243,كيف يتم تنفيذ أحكام الحضانة؟,عبر المحكمة المختصة بالتنفيذ.,Custody and Visitation
244,ما العقوبات على من يرفض تنفيذ حكم الحضانة؟,"قد تشمل الغرامة، الإيقاف، أو تنفيذ الحكم جبريًا.",Custody and Visitation
245,هل يمكن طلب التنفيذ العاجل لأحكام الحضانة؟,"نعم، إذا كان التأخير يشكل ضررًا على المحضون.",Custody and Visitation
246,هل يحق للطرف غير الحاضن الطعن في إجراءات التنفيذ؟,"نعم، ولكن لا يُقبل إلا إذا كان هناك خطأ قانوني واضح.",Custody and Visitation
247,هل يمكن للأم الحاضنة السفر بالمحضون دون إذن الأب؟,"لا، يجب الحصول على موافقة خطية أو إذن قضائي.",Custody and Visitation
248,ماذا يحدث إذا سافر الحاضن بالمحضون دون إذن؟,يمكن رفع دعوى لاسترداد المحضون وإصدار مذكرة منع سفر بحقه.,Custody and Visitation
249,هل يمكن نقل الحضانة للطرف الآخر إذا قرر الحاضن الانتقال الدائم للخارج؟,"نعم، إذا تعذر الحفاظ على حقوق الطرف الآخر في الزيارة.",Custody and Visitation
250,هل يمكن للأب المطالبة بالحضانة إذا عادت الأم إلى بلدها الأصلي؟,يمكنه ذلك إذا أثبت أن وجود الطفل معه أفضل لمصلحته.,Custody and Visitation
251,ما الإجراءات القانونية لمنع السفر بالمحضون دون إذن؟,"يمكن للوالد غير الحاضن تقديم طلب منع سفر إلى محكمة الأحوال الشخصية لمنع الحاضن من السفر بالمحضون دون إذن، ويصدر أمر منع السفر إذا ثبت أن السفر قد يتعارض مع مصلحة المحضون أو يؤثر على حق الزيارة، ويُبلغ الأمر إلى الجهات المختصة كالجوازات للتنفيذ ",Custody and Visitation
252,هل يمكن للقاضي إلزام الوالدين باستشارة نفسية للمحضون؟,"نعم، إذا ثبت وجود آثار نفسية سلبية.",Custody and Visitation
253,هل يمكن للقاضي طلب تقييم نفسي للحاضن؟,"نعم، إذا كانت هناك مخاوف حول أهليته لرعاية المحضون.",Custody and Visitation
254,هل يمكن للأم طلب الحضانة إذا كان الأب عنيفًا تجاه المحضون؟,"نعم، إذا ثبت تعرض المحضون للعنف أو الخطر، فإن المحكمة تسقط الحضانة عن الأب.",Custody and Visitation
255,كيف يمكن إثبات العنف الأسري في قضايا الحضانة؟,"عبر تقارير طبية، شكاوى رسمية، أو شهادات الشهود.",Custody and Visitation
256,هل يمكن نقل الحضانة للطرف الآخر فورًا إذا ثبت العنف؟,"نعم، يمكن للمحكمة إصدار حكم مستعجل لحماية المحضون.",Custody and Visitation
257,هل يؤثر العنف اللفظي أو النفسي على قرار الحضانة؟,"نعم، إذا ثبت أن له تأثيرًا سلبيًا على المحضون.",Custody and Visitation
258,هل يمكن فرض رقابة على الحاضن في حال وجود شكوك بسوء معاملة المحضون؟,"نعم، يمكن للمحكمة إصدار قرار بإشراف جهة مختصة.",Custody and Visitation
259,هل يمكن للأجداد طلب الحضانة إذا كان الأبوان غير مؤهلين؟,"نعم، إذا ثبت أن مصلحة المحضون تقتضي ذلك.",Custody and Visitation
260,ما ترتيب الأجداد في الحضانة؟,"الجدة من الأم، ثم الجدة من الأب، ثم الجد من الأم، ثم الجد من الأب.",Custody and Visitation
261,هل يحق للجد طلب نقل الحضانة إليه إذا كان الأب غير مؤهل؟,"نعم، بشرط إثبات عدم صلاحية الأب للحضانة.",Custody and Visitation
262,هل يمكن للأجداد المطالبة بحقوق الزيارة إذا لم يكن لديهم الحضانة؟,"نعم، يمكنهم تقديم طلب رسمي للمحكمة.",Custody and Visitation
263,هل على الأجداد أي التزامات مالية إذا حصلوا على الحضانة؟,"لا، النفقة تظل على الأب، إلا إذا كان عاجزًا عنها.",Alimony and Maintenance 
264,هل يؤثر انخفاض دخل الحاضن على قرار الحضانة؟,"لا، طالما كان قادرًا على تلبية احتياجات المحضون الأساسية.",Custody and Visitation
265,هل يمكن للأب طلب الحضانة إذا كان دخله أعلى من دخل الأم؟,"لا، إلا إذا ثبت أن ذلك يصب في مصلحة المحضون.",Custody and Visitation
266,هل يُلزم الحاضن بتقديم كشف مالي لإثبات قدرته على الحضانة؟,"لا يُلزم الحاضن بتقديم كشف مالي بشكل إجباري، لكن يمكن للمحكمة طلب ذلك إذا كان هناك نزاع حول قدرته على رعاية المحضون وتوفير احتياجاته الأساسية، وفق المادة 123 من نظام الأحوال الشخصية، وتقرر المحكمة بناءً على مصلحة المحضون الفضلى ",Custody and Visitation
267,هل يؤثر زواج الأب بأخرى على فرصه في الحصول على الحضانة؟,"لا، إلا إذا أثبت أن الزوجة الجديدة غير قادرة على رعاية المحضون.",Custody and Visitation
268,  هل يحق للزوجة الجديدة الاعتراض على الحضانة؟,"لا، لأنها ليست طرفًا مباشرًا في القضية, لكن إذا ثبت أن زواج الأب منها يؤثر سلبًا على مصلحة الطفل (مثلًا بسبب ظروف معيشية غير مناسبة أو إهمال)، يمكن للأم أو أي طرف آخر معني أن يتقدم بدعوى لتعديل الحضانة بناءً على ذلك، وتُنظر المحكمة في الأمر وفق مصلحة الطفل..",Custody and Visitation
269,هل يحق للأب المطالبة بالحضانة إذا كان لديه أطفال من زوجة أخرى؟,"نعم، ولكن يتم النظر في مدى قدرة الأب على رعاية المحضون.",Custody and Visitation
270,هل يمكن نقل الحضانة إلى زوجة الأب إذا كانت أكثر أهلية؟,"لا، إلا إذا فقد جميع الحاضنين الأساسيين أهليتهم.",Custody and Visitation
271,هل يمكن أن تؤثر خلافات الزوجين على قرار الحضانة؟,"لا، القرار يعتمد فقط على مصلحة المحضون.",Custody and Visitation
272,هل يمكن أن تؤثر جنسية الطفل على قرار الحضانة؟,"لا، الحضانة تعتمد على مصلحة الطفل بغض النظر عن الجنسية.",Custody and Visitation
273,هل يمكن نقل الطفل الحاضن إلى بلد آخر إذا كان أحد والديه غير سعودي (أجنبياً)؟,يحتاج إلى موافقة المحكمة لضمان عدم الإضرار بمصلحة الطفل.,Custody and Visitation
274,هل يمكن للأم غير السعودية الحاضنة الحصول على إقامة دائمة للطفل؟,"نعم، وفقًا لأنظمة الإقامة في الدولة.",Custody and Visitation
275,هل يؤثر الزواج من أجنبي (غير سعودي) على حق الحضانة؟,لا يؤثر إلا إذا ثبت أن الزوج الجديد يشكل خطرًا على المحضون.,Custody and Visitation
276,هل يمكن إسقاط الحضانة عن الحاضن إذا أهمل علاج المحضون؟,"نعم، إذا ثبت تعريض حياة المحضون للخطر.",Custody and Visitation
277,هل يمكن مطالبة الطرف غير الحاضن بتكاليف العلاج؟,"نعم، لأن الأب ملزم قانونيًا بنفقة العلاج.",Alimony and Maintenance 
278,ما الإجراء في حال رفض الحاضن تلقيح المحضون طبيًا؟,يمكن للطرف الآخر اللجوء إلى المحكمة لإجبار الحاضن على الامتثال.,Custody and Visitation
279,هل يمكن نقل الحضانة مؤقتًا للطرف الآخر لعلاج الطفل؟,"نعم، إذا كانت الحالة الطبية تستدعي ذلك.",Custody and Visitation
280,هل يُلزم الحاضن بإبلاغ الطرف الآخر بأي مستجدات طبية للمحضون؟,"نعم، كجزء من واجب الحضانة المشتركة.",Custody and Visitation
281,هل يمكن إسقاط الحضانة بسبب بيئة الحاضن الاجتماعية؟,"نعم، إذا ثبت أن البيئة غير آمنة أو غير صحية للمحضون.",Custody and Visitation
282,هل يؤثر عمل الحاضن في بيئة غير مستقرة على الحضانة؟,قد يؤثر إذا كان يؤثر سلبًا على تربية المحضون.,Custody and Visitation
283,هل يمكن نقل الحضانة إذا كان الحاضن يعيش مع أفراد غير مناسبين؟,"نعم، إذا ثبت أن ذلك يضر بمصلحة المحضون.",Custody and Visitation
284,هل تؤثر كثرة التنقلات على قرار الحضانة؟,"نعم، إذا كان يؤثر على استقرار المحضون.",Custody and Visitation
285,هل يمكن للقاضي طلب تحقيق اجتماعي حول الحاضن؟,"نعم، إذا كانت هناك شبهة بعدم أهلية الحاضن.",Custody and Visitation
286,هل يمكن إسقاط الحضانة إذا أجبر الحاضن المحضون على الزواج؟,"نعم، لأن ذلك يعتبر انتهاكًا لحقوق الطفل.",Custody and Visitation
287,هل يمكن نقل الحضانة للطرف الآخر إذا رفض تزويج المحضون قسرًا؟,"نعم، إذا ثبت الإكراه.",Custody and Visitation
288,هل يمكن للقاصر رفع دعوى ضد حاضنه بسبب إجباره على الزواج؟,"نعم، ويمكنه طلب نقل الحضانة.",Custody and Visitation
289,هل تسقط الحضانة تلقائيًا في حالات الزواج القسري؟,"لا، ولكن يمكن إسقاطها بحكم قضائي.",Custody and Visitation
290,هل يمكن للحاضن تغيير اسم المحضون دون إذن الولي؟,"لا، لأن تغيير الاسم يتطلب موافقة ولي الأمر الشرعي.",Custody and Visitation
291,هل يمكن رفض تسجيل المحضون في مدرسة معينة بسبب رغبة الطرف الآخر؟,"لا، طالما أن المدرسة تحقق مصلحة المحضون.",Custody and Visitation
292,هل يمكن إلزام الحاضن بتعليم المحضون في مدرسة معينة؟,يمكن ذلك إذا كان في مصلحة الطفل.,Custody and Visitation
293,ما هو الطلاق من الناحية القانونية؟,هو إنهاء عقد الزواج بإرادة الزوج أو بحكم قضائي وفقًا لما ينص عليه نظام الأحوال الشخصية.,Divorce
294,ما الفرق بين الطلاق الرجعي والطلاق البائن؟,"الطلاق الرجعي يحق فيه للزوج مراجعة زوجته خلال العدة دون عقد جديد، بينما الطلاق البائن لا يحق فيه الرجوع إلا بعقد ومهر جديدين.",Divorce
295,هل يمكن إيقاع الطلاق بدون توثيقه رسميًا؟,"لا، يجب توثيق الطلاق رسميًا لحفظ الحقوق الشرعية والقانونية.",Divorce
296,ما الفرق بين الطلاق والتفريق القضائي؟,"الطلاق يتم بإرادة الزوج، بينما التفريق القضائي يكون بناءً على طلب الزوجة أو لسبب قضائي كعدم الإنفاق أو الضرر.",Divorce
297,هل يشترط موافقة الزوجة على الطلاق؟,"لا، الطلاق حق للزوج، لكنه يخضع لشروط وإجراءات قانونية.",Divorce
298,كيف يتم توثيق الطلاق في المحكمة؟,"يتم رفع طلب الطلاق إلكترونيًا أو بالحضور للمحكمة، ثم تثبت الواقعة بوثيقة رسمية.",Divorce
299,هل يلزم حضور الزوجة عند توثيق الطلاق؟,"ليس بالضرورة، ولكن يتم إشعارها بالطلاق لضمان حقوقها.",Divorce
300,هل يمكن الطلاق شفويًا دون اللجوء للمحكمة؟,الطلاق الشفوي يقع شرعًا لكنه لا يُعتمد قانونيًا إلا بعد توثيقه رسميًا.,Divorce
301,كم تستغرق إجراءات الطلاق في المحكمة؟,"تختلف المدة حسب تعقيد القضية، لكنها عادة تتراوح بين عدة أسابيع إلى بضعة أشهر.",Divorce
302,هل يمكن إلغاء الطلاق بعد توثيقه؟,"يمكن الرجوع في الطلاق الرجعي خلال العدة، أما البائن فلا بد من عقد جديد.",Divorce
303,ما حقوق الزوجة في الطلاق الرجعي؟,تبقى في العدة ولها حقوق النفقة والسكن حتى انتهاء عدتها.,Divorce
304,هل يحق للزوج إجبار الزوجة على العودة بعد الطلاق الرجعي؟,"له حق المراجعة خلال العدة، لا بعد انقضائها.",Divorce
305,متى يصبح الطلاق نهائيًا ولا رجعة فيه؟,"بعد الطلاق الثالث، أو إذا كان الطلاق بائنًا بينونة كبرى.",Divorce
306,هل يؤثر الحمل على نوع الطلاق؟,"لا، لكنه يمدد العدة حتى وضع الحمل.",Divorce
307,ما الحالات التي يحق فيها للزوجة طلب الطلاق بسبب الضرر؟,"العنف، الإهمال، عدم الإنفاق، الهجر، أو أي ضرر يؤثر على الحياة الزوجية.",Divorce
308,كيف تثبت الزوجة الضرر في المحكمة؟,"من خلال شهادات الشهود، التقارير الطبية، أو أي أدلة موثقة.",Marriage
309,هل يمكن للزوجة طلب الطلاق إذا كان الزوج مسجونًا؟,"نعم، إذا طالت مدة السجن وأثرت على حياتها الزوجية.",Divorce
310,هل يحق للزوجة طلب الطلاق بسبب الخيانة الزوجية؟,"نعم، إذا استطاعت إثبات الضرر الناتج عن الخيانة.",Divorce
311,ما المدة التي يُعتبر فيها الهجر سببًا للطلاق؟,إذا تجاوز أربعة أشهر دون عذر مقبول.,Divorce
312,ما حقوق الزوجة المالية بعد الطلاق؟,"تستحق النفقة خلال العدة، والمهر المؤجل، وأي حقوق أخرى منصوص عليها في العقد.",Alimony and Maintenance 
313,هل يمكن إجبار الزوج على دفع النفقة بأثر رجعي؟,"نعم، إذا امتنع عن دفعها دون عذر قانوني.",Alimony and Maintenance 
314,من هو الأحق بحضانة الأطفال بعد الطلاق؟,"الأم، ثم الأب، ثم الأقارب حسب الترتيب الشرعي.",Custody and Visitation
315,هل يحق للأب المطالبة بحضانة الأبناء بعد الطلاق؟,"نعم، إذا ثبت أن الأم غير مؤهلة للحضانة.",Custody and Visitation
316,هل يمكن للأم منع الأب من رؤية الأطفال بعد الطلاق؟,"لا، فالزيارة حق للأب يجب الالتزام به.",Custody and Visitation
317,ما السن القانونية التي يمكن للطفل فيها اختيار الحاضن؟,"بعد سن 15 عامًا، يحق له الاختيار.",Custody and Visitation
318,هل يحق للأم السفر بالمحضون دون إذن الأب؟,"لا، إلا بموافقة الأب أو إذن المحكمة.",Custody and Visitation
319,ما هو الطلاق بالتراضي؟,هو طلاق يتم بالاتفاق بين الزوجين على إنهاء الزواج دون نزاع.,Divorce
320,هل يشترط توثيق الطلاق بالتراضي في المحكمة؟,"نعم، لحفظ الحقوق.",Divorce
321,هل يمكن الاتفاق على إسقاط النفقة مقابل الطلاق؟,يمكن ذلك إذا وافقت الزوجة طواعية.,Alimony and Maintenance 
322,هل يحق للزوجة طلب تعويض مالي مقابل الموافقة على الطلاق؟,"نعم، إذا لم يكن لديها أسباب قانونية للطلاق.",Divorce
323,هل يمكن للطرفين الاتفاق على حضانة الأطفال ضمن الطلاق الاتفاقي؟,"نعم، ولكن يبقى للقضاء الحق في تعديل الاتفاق إذا كان ضد مصلحة الأطفال.",Custody and Visitation
324,ما هو الطلاق الغيابي؟,"هو الطلاق الذي يقع دون حضور الزوجة، ويتم إبلاغها رسميًا به.",Divorce
325,هل يمكن الاعتراض على الطلاق الغيابي؟,يمكن إذا تم بطرق غير قانونية.,Divorce
326,هل يحق للزوجة المطالبة بحقوقها بعد الطلاق الغيابي؟,"نعم، مثل النفقة والمهر المؤجل.",Alimony and Maintenance 
